Customer_Age,Education_Level,Income_Category,Months_on_book
29,Graduate,Unknown,19
38,Graduate,$40K - $60K,19
31,Graduate,$60K - $80K,25
35,High School,$60K - $80K,21
34,College,$80K - $120K,28
42,Doctorate,$80K - $120K,27
29,College,$60K - $80K,36
32,Graduate,$40K - $60K,21
37,High School,Less than $40K,27
38,Graduate,$80K - $120K,29
35,Graduate,Unknown,23
36,Graduate,$60K - $80K,36
27,High School,$60K - $80K,18
26,High School,$40K - $60K,15
33,College,$80K - $120K,26
35,Graduate,$60K - $80K,24
29,College,Less than $40K,23
33,Graduate,$120K +,21
34,Graduate,$40K - $60K,36
48,Graduate,$60K - $80K,36
38,High School,$80K - $120K,27
42,High School,$60K - $80K,36
39,Uneducated,$40K - $60K,29
36,Graduate,Less than $40K,18
29,College,$80K - $120K,19
26,College,$40K - $60K,13
36,Uneducated,Unknown,21
41,Graduate,$40K - $60K,32
26,Post-Graduate,Less than $40K,13
34,Graduate,$60K - $80K,26
37,College,$80K - $120K,30
40,Graduate,Unknown,20
45,High School,$80K - $120K,34
37,High School,Less than $40K,31
30,Graduate,$60K - $80K,36
36,Graduate,$80K - $120K,27
39,Graduate,$40K - $60K,35
34,Graduate,Less than $40K,28
47,High School,$60K - $80K,36
42,High School,$80K - $120K,37
31,College,$40K - $60K,22
40,College,$80K - $120K,33
42,Graduate,Less than $40K,32
31,Graduate,Less than $40K,21
45,Graduate,$40K - $60K,36
38,Graduate,$80K - $120K,28
42,Post-Graduate,Less than $40K,36
35,College,$60K - $80K,28
39,Doctorate,Unknown,36
35,Graduate,Less than $40K,27
47,High School,$40K - $60K,36
38,Graduate,$80K - $120K,33
26,High School,Less than $40K,15
37,Graduate,Unknown,28
39,Graduate,$120K +,25
35,Uneducated,$60K - $80K,16
38,Graduate,$80K - $120K,33
36,Uneducated,$40K - $60K,31
39,College,$80K - $120K,28
28,High School,Less than $40K,36
26,Uneducated,Less than $40K,20
28,Graduate,Less than $40K,36
30,Uneducated,Unknown,13
31,Uneducated,Less than $40K,19
43,High School,$40K - $60K,32
26,Uneducated,Less than $40K,20
39,High School,$40K - $60K,26
33,Graduate,$80K - $120K,20
33,Uneducated,Less than $40K,22
26,College,Unknown,16
37,Graduate,Less than $40K,36
35,Uneducated,$120K +,26
37,Uneducated,$80K - $120K,26
38,Uneducated,$40K - $60K,31
38,Uneducated,$80K - $120K,25
39,High School,Unknown,27
43,Uneducated,Less than $40K,29
36,College,$80K - $120K,36
38,Uneducated,Less than $40K,28
37,Graduate,$40K - $60K,27
37,College,$60K - $80K,30
29,Uneducated,Less than $40K,19
35,High School,$80K - $120K,29
38,College,$40K - $60K,28
33,High School,Less than $40K,27
45,Uneducated,Less than $40K,36
33,Uneducated,Less than $40K,16
34,Graduate,Less than $40K,36
38,Graduate,Less than $40K,30
35,High School,$60K - $80K,24
33,Post-Graduate,Unknown,36
37,High School,$120K +,32
50,High School,Less than $40K,43
35,Uneducated,Less than $40K,21
28,Post-Graduate,$40K - $60K,16
37,Uneducated,$80K - $120K,31
39,Graduate,$40K - $60K,28
31,Post-Graduate,$40K - $60K,20
37,Graduate,$60K - $80K,23
39,Graduate,Less than $40K,32
38,Graduate,$80K - $120K,31
35,Graduate,$40K - $60K,30
30,Graduate,Less than $40K,36
48,Post-Graduate,Less than $40K,35
33,Uneducated,Less than $40K,21
37,High School,Less than $40K,36
39,College,$40K - $60K,28
43,Graduate,$60K - $80K,28
38,Uneducated,$80K - $120K,33
48,Post-Graduate,$40K - $60K,44
38,Graduate,$60K - $80K,36
35,Graduate,$40K - $60K,17
38,Post-Graduate,$60K - $80K,36
34,Graduate,$120K +,29
39,High School,$60K - $80K,34
37,Graduate,$80K - $120K,36
33,High School,Less than $40K,26
37,Doctorate,$60K - $80K,30
47,Graduate,$40K - $60K,41
34,Post-Graduate,Unknown,29
26,Uneducated,Less than $40K,13
45,College,$120K +,40
47,High School,$40K - $60K,41
34,Graduate,$60K - $80K,27
36,College,$80K - $120K,27
36,Uneducated,$40K - $60K,30
29,Post-Graduate,Less than $40K,18
37,Graduate,$80K - $120K,20
46,Graduate,Less than $40K,36
32,High School,$120K +,27
39,Uneducated,$120K +,36
38,High School,$60K - $80K,26
38,Uneducated,$60K - $80K,36
43,College,Less than $40K,36
39,Graduate,Less than $40K,34
35,High School,Unknown,24
45,College,$80K - $120K,39
35,Graduate,$40K - $60K,29
48,Graduate,$40K - $60K,39
26,High School,$40K - $60K,13
36,College,$120K +,26
37,College,$80K - $120K,17
49,High School,$80K - $120K,37
45,College,$60K - $80K,38
34,High School,Unknown,36
28,High School,Less than $40K,19
26,College,Less than $40K,15
47,Graduate,$120K +,36
36,High School,Unknown,36
43,Graduate,$80K - $120K,33
37,College,$60K - $80K,26
33,Graduate,$80K - $120K,36
38,College,$40K - $60K,25
36,Graduate,$80K - $120K,36
40,Graduate,Unknown,28
37,Graduate,$120K +,30
26,High School,Unknown,13
45,High School,$60K - $80K,35
26,High School,Less than $40K,13
42,Graduate,$40K - $60K,30
33,College,$80K - $120K,36
40,Uneducated,$80K - $120K,36
32,High School,Less than $40K,23
26,Graduate,$60K - $80K,13
37,High School,Less than $40K,26
47,High School,Unknown,43
47,Graduate,$80K - $120K,34
48,Graduate,Unknown,43
49,Uneducated,Less than $40K,36
35,Graduate,$80K - $120K,20
36,Graduate,$60K - $80K,17
30,Graduate,Less than $40K,23
46,Graduate,$40K - $60K,41
43,Graduate,$80K - $120K,34
34,Graduate,$120K +,28
44,Graduate,$80K - $120K,33
34,Graduate,$80K - $120K,29
40,Graduate,$60K - $80K,31
42,College,$60K - $80K,36
36,Graduate,$40K - $60K,28
26,High School,Less than $40K,13
42,High School,$40K - $60K,32
41,College,$120K +,28
35,Graduate,Less than $40K,23
34,Graduate,$120K +,27
37,High School,$80K - $120K,31
46,Uneducated,$60K - $80K,32
26,College,$40K - $60K,21
47,Graduate,Less than $40K,36
40,High School,$80K - $120K,28
33,Graduate,Less than $40K,20
33,High School,$80K - $120K,28
41,Uneducated,Unknown,33
29,Graduate,Less than $40K,20
43,Doctorate,Unknown,38
40,High School,$80K - $120K,29
37,Graduate,Less than $40K,36
32,High School,Less than $40K,14
36,Graduate,$60K - $80K,27
36,Uneducated,$120K +,25
26,Uneducated,$40K - $60K,18
38,Graduate,$40K - $60K,20
32,High School,$40K - $60K,22
37,Graduate,Less than $40K,31
32,Graduate,Unknown,27
47,High School,$80K - $120K,36
32,Graduate,Less than $40K,26
34,Doctorate,Less than $40K,13
43,High School,$80K - $120K,36
31,College,Less than $40K,21
48,College,$40K - $60K,36
33,Uneducated,$60K - $80K,28
26,Post-Graduate,Less than $40K,15
30,Uneducated,Less than $40K,24
49,Graduate,Less than $40K,43
39,Uneducated,$120K +,26
34,College,$60K - $80K,23
32,Graduate,$40K - $60K,21
39,Graduate,$80K - $120K,22
48,Graduate,Unknown,40
36,Graduate,$80K - $120K,32
39,College,$40K - $60K,34
31,Graduate,Less than $40K,36
31,Graduate,$40K - $60K,36
36,Graduate,$60K - $80K,36
47,Graduate,Less than $40K,42
37,College,$60K - $80K,19
39,Graduate,$80K - $120K,27
37,Graduate,$40K - $60K,36
37,Graduate,$40K - $60K,36
45,Uneducated,Less than $40K,39
36,Graduate,Unknown,26
34,College,Less than $40K,30
35,Graduate,$80K - $120K,24
32,Graduate,$40K - $60K,18
38,Uneducated,Less than $40K,27
37,Uneducated,$80K - $120K,28
37,High School,Unknown,36
47,Graduate,Less than $40K,36
33,College,Less than $40K,23
49,Graduate,$60K - $80K,43
37,Doctorate,$120K +,22
31,Uneducated,$40K - $60K,24
43,Graduate,$120K +,31
39,Uneducated,$80K - $120K,26
38,High School,$40K - $60K,36
39,High School,Unknown,27
30,College,$40K - $60K,22
46,Doctorate,$80K - $120K,39
39,College,$60K - $80K,31
34,Uneducated,$120K +,36
39,Uneducated,$60K - $80K,28
36,Graduate,Less than $40K,28
38,High School,$40K - $60K,32
28,Graduate,Less than $40K,23
37,High School,Unknown,36
48,Graduate,Less than $40K,36
38,Uneducated,$60K - $80K,25
37,High School,$60K - $80K,30
27,High School,Less than $40K,19
32,High School,Less than $40K,26
45,Graduate,$60K - $80K,37
36,Post-Graduate,Less than $40K,25
39,Graduate,$40K - $60K,29
39,Graduate,$40K - $60K,30
34,High School,$80K - $120K,21
36,Graduate,$60K - $80K,28
37,High School,$120K +,24
27,Uneducated,$40K - $60K,15
42,Graduate,Unknown,34
30,College,Unknown,13
38,High School,$60K - $80K,32
47,Uneducated,Unknown,35
33,Graduate,$40K - $60K,24
33,High School,$60K - $80K,23
44,Doctorate,Less than $40K,39
34,Uneducated,$80K - $120K,25
37,High School,Less than $40K,31
39,Post-Graduate,$60K - $80K,36
39,High School,$80K - $120K,34
37,Graduate,$120K +,25
45,Graduate,Less than $40K,36
37,Graduate,$60K - $80K,23
29,Uneducated,Less than $40K,23
37,Graduate,$80K - $120K,27
43,High School,$60K - $80K,23
29,Post-Graduate,Less than $40K,17
38,High School,$120K +,29
26,Graduate,$40K - $60K,17
46,High School,Less than $40K,39
39,Uneducated,Less than $40K,34
31,Graduate,$40K - $60K,20
37,High School,$40K - $60K,36
36,High School,$40K - $60K,32
26,High School,Less than $40K,36
35,College,$80K - $120K,36
37,Graduate,$80K - $120K,24
38,High School,$60K - $80K,26
37,Uneducated,$60K - $80K,36
33,Graduate,$120K +,21
38,College,$80K - $120K,24
30,Post-Graduate,Less than $40K,17
31,Graduate,$60K - $80K,24
26,College,$40K - $60K,36
29,Graduate,Less than $40K,18
35,High School,Less than $40K,36
35,Uneducated,$120K +,29
35,Uneducated,Unknown,27
35,Uneducated,$40K - $60K,36
32,High School,$60K - $80K,13
49,College,Less than $40K,43
36,Graduate,$120K +,29
35,High School,Less than $40K,21
39,Graduate,$40K - $60K,26
39,Uneducated,Less than $40K,36
34,Graduate,Less than $40K,23
26,High School,Unknown,13
32,College,$80K - $120K,21
49,High School,$60K - $80K,39
39,Uneducated,Less than $40K,26
32,Graduate,$40K - $60K,22
30,College,Less than $40K,19
37,Uneducated,$80K - $120K,36
38,Uneducated,$40K - $60K,36
46,Uneducated,$120K +,33
36,Uneducated,$60K - $80K,36
33,Post-Graduate,$80K - $120K,36
46,Doctorate,$120K +,36
50,High School,$120K +,40
41,College,$60K - $80K,33
36,Graduate,Less than $40K,30
45,College,$120K +,40
36,High School,$80K - $120K,27
45,Graduate,$40K - $60K,32
38,Graduate,$40K - $60K,27
35,High School,Less than $40K,22
48,College,Less than $40K,37
37,College,Unknown,20
33,Doctorate,Unknown,21
31,College,$80K - $120K,36
40,College,Less than $40K,26
43,High School,$80K - $120K,37
31,High School,Less than $40K,22
36,Uneducated,$80K - $120K,25
34,High School,$60K - $80K,27
46,Graduate,$40K - $60K,31
45,College,$60K - $80K,35
40,High School,Less than $40K,32
46,Uneducated,Less than $40K,36
36,Graduate,Less than $40K,25
44,Graduate,$40K - $60K,33
37,Uneducated,Less than $40K,30
35,Graduate,$80K - $120K,25
37,High School,$40K - $60K,19
45,Uneducated,Unknown,26
41,Uneducated,$40K - $60K,36
37,High School,$60K - $80K,29
29,College,Unknown,15
42,College,$60K - $80K,25
47,Graduate,Less than $40K,36
44,Graduate,Less than $40K,36
34,High School,Less than $40K,28
37,Graduate,Unknown,32
33,Graduate,Unknown,21
40,Uneducated,$80K - $120K,23
46,Graduate,$80K - $120K,35
27,Graduate,$40K - $60K,16
37,High School,Less than $40K,30
34,Doctorate,Unknown,25
34,Graduate,$40K - $60K,17
35,Uneducated,Less than $40K,36
45,Uneducated,$40K - $60K,36
26,Graduate,Less than $40K,13
34,High School,$80K - $120K,23
39,Uneducated,$60K - $80K,36
36,Graduate,$120K +,36
48,Doctorate,$80K - $120K,28
50,Uneducated,Unknown,34
39,Uneducated,Less than $40K,26
45,High School,Less than $40K,36
34,Uneducated,$120K +,28
37,Graduate,$40K - $60K,36
44,Graduate,Less than $40K,36
26,Graduate,Less than $40K,15
26,High School,Unknown,13
34,Uneducated,$60K - $80K,24
30,Graduate,$80K - $120K,23
35,Post-Graduate,$80K - $120K,27
32,Graduate,$40K - $60K,27
32,Uneducated,Less than $40K,23
35,Graduate,Less than $40K,25
31,Graduate,Less than $40K,26
45,Graduate,$40K - $60K,34
31,Uneducated,Less than $40K,20
37,Graduate,$60K - $80K,36
41,Post-Graduate,$60K - $80K,34
45,Graduate,$40K - $60K,39
41,High School,$40K - $60K,36
40,High School,Less than $40K,31
47,High School,$80K - $120K,36
42,Uneducated,Less than $40K,36
39,Graduate,$80K - $120K,34
39,Graduate,$60K - $80K,34
36,Graduate,$120K +,29
36,Uneducated,$60K - $80K,21
29,Graduate,Less than $40K,19
37,Graduate,Less than $40K,28
36,High School,$60K - $80K,36
46,Graduate,$60K - $80K,36
31,High School,Less than $40K,22
33,Doctorate,$40K - $60K,25
50,High School,Less than $40K,38
48,High School,$40K - $60K,29
50,Graduate,$40K - $60K,40
39,Graduate,$80K - $120K,31
39,College,$60K - $80K,26
37,Graduate,$80K - $120K,26
50,Uneducated,Unknown,45
38,Graduate,$40K - $60K,36
38,Graduate,$40K - $60K,22
41,College,$80K - $120K,35
28,Post-Graduate,Unknown,13
44,Graduate,Unknown,31
28,High School,Unknown,21
35,Graduate,Less than $40K,21
46,College,Less than $40K,38
50,Uneducated,Unknown,44
31,Uneducated,$40K - $60K,21
50,College,Less than $40K,32
44,High School,Less than $40K,39
41,Graduate,$80K - $120K,35
48,College,Less than $40K,38
35,High School,$120K +,36
30,Post-Graduate,Less than $40K,18
37,High School,$80K - $120K,24
37,Graduate,$60K - $80K,27
48,Doctorate,Less than $40K,43
37,Graduate,$40K - $60K,17
35,High School,$60K - $80K,26
35,Graduate,Less than $40K,27
49,High School,$40K - $60K,38
26,High School,Unknown,13
29,Uneducated,Unknown,18
33,College,$80K - $120K,23
36,Graduate,$40K - $60K,28
47,Doctorate,Less than $40K,36
41,Graduate,Less than $40K,29
46,Graduate,$60K - $80K,40
39,Uneducated,Unknown,34
49,Graduate,$80K - $120K,39
35,High School,Less than $40K,23
47,College,$120K +,27
38,Graduate,$60K - $80K,34
38,High School,$60K - $80K,25
46,College,$80K - $120K,39
37,High School,$40K - $60K,25
38,College,$80K - $120K,27
45,Doctorate,Unknown,39
26,College,$40K - $60K,36
48,Uneducated,$120K +,36
48,Graduate,Less than $40K,43
33,Graduate,$80K - $120K,36
40,Graduate,Less than $40K,29
46,High School,$40K - $60K,41
47,Graduate,$60K - $80K,34
45,Graduate,$60K - $80K,36
48,Uneducated,$40K - $60K,38
43,Post-Graduate,$60K - $80K,37
43,College,$40K - $60K,31
43,Graduate,$80K - $120K,37
38,Graduate,$60K - $80K,32
34,College,Less than $40K,36
36,High School,$40K - $60K,20
36,College,$40K - $60K,36
35,Graduate,Unknown,27
48,Graduate,Less than $40K,36
37,Uneducated,$40K - $60K,19
45,Uneducated,$80K - $120K,39
38,High School,$60K - $80K,30
35,College,Less than $40K,18
36,Uneducated,Less than $40K,30
33,Post-Graduate,$120K +,14
28,High School,Less than $40K,14
36,Uneducated,$40K - $60K,26
34,College,Less than $40K,27
44,Graduate,Less than $40K,39
39,High School,$80K - $120K,28
37,High School,$40K - $60K,25
47,Graduate,$40K - $60K,36
33,College,$40K - $60K,26
30,Graduate,$60K - $80K,22
36,High School,Less than $40K,36
46,High School,Less than $40K,28
31,Uneducated,Less than $40K,25
36,Post-Graduate,$40K - $60K,31
33,Graduate,Less than $40K,36
30,Post-Graduate,$40K - $60K,16
41,College,$120K +,32
45,Uneducated,$40K - $60K,36
50,Graduate,Less than $40K,40
35,Graduate,$60K - $80K,25
33,College,Less than $40K,24
38,Uneducated,$80K - $120K,33
31,High School,Less than $40K,22
37,Graduate,$60K - $80K,27
36,Uneducated,$80K - $120K,30
39,Graduate,Unknown,36
39,Graduate,Less than $40K,34
50,Uneducated,Less than $40K,40
33,High School,$40K - $60K,24
48,High School,Unknown,36
41,Graduate,$60K - $80K,36
34,Post-Graduate,$80K - $120K,28
38,Graduate,$80K - $120K,27
35,Doctorate,$40K - $60K,24
35,Graduate,$120K +,27
35,Doctorate,$60K - $80K,18
36,Graduate,Unknown,36
33,Graduate,$40K - $60K,36
37,Uneducated,Less than $40K,29
35,Graduate,$120K +,28
48,High School,$40K - $60K,30
37,Graduate,$40K - $60K,17
50,College,$60K - $80K,40
48,Graduate,$60K - $80K,37
40,Graduate,$60K - $80K,30
48,Graduate,$80K - $120K,39
50,Uneducated,Less than $40K,36
36,High School,$80K - $120K,30
46,High School,$120K +,32
28,Uneducated,Unknown,36
44,High School,$40K - $60K,38
37,Uneducated,$80K - $120K,36
46,High School,$60K - $80K,40
45,High School,Unknown,36
33,High School,$120K +,20
39,Graduate,$120K +,36
37,High School,Less than $40K,28
32,Uneducated,$40K - $60K,36
26,Uneducated,Unknown,13
37,Graduate,$80K - $120K,18
43,Graduate,Less than $40K,35
34,Uneducated,$120K +,17
26,Graduate,Less than $40K,21
35,Uneducated,Less than $40K,23
41,Graduate,$60K - $80K,28
36,Uneducated,Less than $40K,32
36,High School,$80K - $120K,26
42,Graduate,$60K - $80K,32
27,College,Less than $40K,14
29,High School,Less than $40K,23
33,College,$40K - $60K,14
35,Graduate,$80K - $120K,36
33,Graduate,Less than $40K,36
46,Graduate,$80K - $120K,40
42,College,$120K +,36
50,Graduate,$120K +,42
48,College,$40K - $60K,40
34,Graduate,Less than $40K,27
48,Uneducated,Less than $40K,42
45,College,$40K - $60K,37
47,Uneducated,$80K - $120K,32
33,Post-Graduate,Less than $40K,15
49,Post-Graduate,Unknown,36
49,Graduate,$40K - $60K,35
36,High School,$80K - $120K,31
36,Graduate,$60K - $80K,36
46,Graduate,$40K - $60K,36
30,College,Less than $40K,24
46,Graduate,$120K +,36
41,Uneducated,$80K - $120K,36
50,Uneducated,$40K - $60K,45
49,High School,Less than $40K,43
41,High School,$80K - $120K,36
44,College,$120K +,34
38,Graduate,Less than $40K,34
26,College,Less than $40K,13
27,Post-Graduate,Less than $40K,22
32,Uneducated,$60K - $80K,14
45,Uneducated,Less than $40K,30
48,High School,Less than $40K,28
38,Post-Graduate,$60K - $80K,36
40,Graduate,Less than $40K,30
35,Uneducated,Less than $40K,26
31,College,$80K - $120K,36
40,College,$40K - $60K,24
48,Graduate,$80K - $120K,29
49,High School,$80K - $120K,39
40,High School,$40K - $60K,32
45,Graduate,$40K - $60K,41
36,Graduate,$80K - $120K,17
37,Graduate,Less than $40K,36
44,College,$40K - $60K,34
42,High School,Less than $40K,36
49,Post-Graduate,$80K - $120K,45
30,Graduate,Less than $40K,17
50,Uneducated,$60K - $80K,45
32,High School,$60K - $80K,26
32,Graduate,Less than $40K,28
49,Post-Graduate,$60K - $80K,44
37,Doctorate,$120K +,32
42,College,Unknown,31
48,Uneducated,$60K - $80K,40
33,Post-Graduate,$40K - $60K,28
36,College,$60K - $80K,24
36,High School,Less than $40K,36
28,High School,Less than $40K,36
31,Uneducated,Less than $40K,19
44,Uneducated,Less than $40K,33
34,Doctorate,Less than $40K,28
37,Uneducated,$60K - $80K,36
46,Graduate,$40K - $60K,37
47,Uneducated,Less than $40K,32
36,High School,Less than $40K,28
37,Graduate,$60K - $80K,31
47,College,$40K - $60K,36
48,Graduate,$80K - $120K,38
35,Uneducated,$60K - $80K,30
49,Uneducated,$80K - $120K,36
41,College,$60K - $80K,28
37,High School,$60K - $80K,36
30,High School,Less than $40K,21
45,Post-Graduate,$80K - $120K,35
46,Graduate,$60K - $80K,40
36,College,Less than $40K,36
48,Doctorate,$120K +,41
44,Graduate,$60K - $80K,34
46,Graduate,$40K - $60K,41
48,Graduate,$80K - $120K,40
41,High School,$80K - $120K,36
37,High School,$40K - $60K,22
29,High School,Less than $40K,13
49,Doctorate,Less than $40K,44
47,Doctorate,Less than $40K,35
33,Graduate,$60K - $80K,21
34,Graduate,$60K - $80K,27
28,Graduate,Unknown,15
36,Graduate,$40K - $60K,28
30,Graduate,Less than $40K,18
34,High School,$40K - $60K,21
38,College,$40K - $60K,36
39,Post-Graduate,Less than $40K,22
32,Graduate,Unknown,26
36,Doctorate,$40K - $60K,26
37,High School,Unknown,28
45,Uneducated,$60K - $80K,33
38,Uneducated,Less than $40K,33
31,Graduate,$40K - $60K,24
43,College,Unknown,36
37,Graduate,$60K - $80K,31
27,Uneducated,$60K - $80K,36
34,High School,$40K - $60K,36
32,College,Less than $40K,36
49,Uneducated,Less than $40K,39
27,Post-Graduate,Unknown,22
30,Uneducated,Unknown,22
39,High School,$80K - $120K,25
42,Doctorate,$80K - $120K,32
47,Graduate,Less than $40K,41
26,High School,$40K - $60K,36
37,High School,$40K - $60K,24
45,Uneducated,$40K - $60K,35
37,Graduate,$120K +,28
36,Graduate,Less than $40K,31
36,High School,Less than $40K,36
39,High School,$60K - $80K,28
47,Uneducated,$60K - $80K,36
49,Graduate,$120K +,36
36,Uneducated,Less than $40K,26
26,College,$40K - $60K,13
34,Graduate,$80K - $120K,23
43,Graduate,$120K +,31
47,Uneducated,Unknown,42
42,High School,Less than $40K,19
38,College,$80K - $120K,30
28,College,Unknown,36
29,Post-Graduate,Less than $40K,36
48,Doctorate,$60K - $80K,38
43,Uneducated,$80K - $120K,36
49,Post-Graduate,Less than $40K,36
43,High School,$80K - $120K,23
41,Uneducated,$40K - $60K,36
43,Graduate,$80K - $120K,31
37,Doctorate,$80K - $120K,30
37,College,$40K - $60K,24
49,High School,$80K - $120K,36
36,Uneducated,$80K - $120K,25
50,Graduate,Less than $40K,43
36,College,Unknown,30
45,High School,$120K +,35
41,Graduate,$80K - $120K,36
47,Graduate,$80K - $120K,37
39,Post-Graduate,$80K - $120K,31
36,Doctorate,$120K +,31
39,Graduate,$40K - $60K,34
50,High School,Less than $40K,38
38,Graduate,$60K - $80K,32
41,Uneducated,$40K - $60K,28
40,Graduate,Less than $40K,27
40,Doctorate,Unknown,36
46,Uneducated,Less than $40K,35
49,Graduate,Less than $40K,36
49,Graduate,$80K - $120K,39
38,Graduate,$80K - $120K,24
40,Graduate,$80K - $120K,34
36,Uneducated,$80K - $120K,31
34,College,$60K - $80K,20
39,College,Unknown,36
50,Graduate,$120K +,42
36,Uneducated,$120K +,28
44,Graduate,$40K - $60K,30
45,College,Less than $40K,32
36,Graduate,$120K +,28
44,Uneducated,Less than $40K,36
50,Graduate,Less than $40K,37
27,College,Less than $40K,15
31,College,Unknown,27
41,High School,$60K - $80K,28
28,Uneducated,$60K - $80K,18
43,Uneducated,$80K - $120K,31
46,Graduate,$60K - $80K,34
44,High School,Less than $40K,33
40,Graduate,$60K - $80K,36
32,High School,$40K - $60K,18
48,Uneducated,$40K - $60K,37
37,High School,Less than $40K,25
41,Uneducated,$80K - $120K,30
49,Post-Graduate,$120K +,36
36,High School,Unknown,23
35,Graduate,$40K - $60K,25
36,Post-Graduate,Less than $40K,23
33,Graduate,Less than $40K,22
33,Graduate,$80K - $120K,26
44,Graduate,$80K - $120K,34
38,Doctorate,$80K - $120K,29
41,Uneducated,$80K - $120K,32
44,Uneducated,Less than $40K,26
37,Post-Graduate,$80K - $120K,27
37,Graduate,$40K - $60K,27
46,Graduate,$80K - $120K,33
50,High School,Less than $40K,39
48,High School,Unknown,36
47,High School,Less than $40K,38
43,Graduate,Less than $40K,32
41,Uneducated,$80K - $120K,36
34,Post-Graduate,$60K - $80K,23
33,College,Less than $40K,17
49,High School,$60K - $80K,36
44,Doctorate,$120K +,35
36,Uneducated,$80K - $120K,28
37,High School,$80K - $120K,31
50,Uneducated,$120K +,30
40,Graduate,$60K - $80K,30
40,High School,Less than $40K,31
48,Graduate,$60K - $80K,38
45,Graduate,Less than $40K,35
30,Graduate,Less than $40K,17
41,High School,$40K - $60K,32
46,Graduate,$120K +,42
31,College,Less than $40K,21
48,High School,$60K - $80K,40
45,Graduate,$40K - $60K,36
46,Graduate,$120K +,34
34,Graduate,$80K - $120K,22
39,Uneducated,Less than $40K,28
34,High School,Unknown,22
44,Doctorate,$40K - $60K,25
49,High School,$120K +,42
26,Graduate,Unknown,36
35,College,$60K - $80K,26
48,Graduate,$80K - $120K,30
38,Uneducated,$60K - $80K,18
50,College,Less than $40K,45
46,Uneducated,Less than $40K,33
48,Graduate,$80K - $120K,35
36,Graduate,$60K - $80K,28
41,Post-Graduate,Less than $40K,35
45,High School,Unknown,36
36,College,$60K - $80K,25
49,Graduate,Less than $40K,36
43,High School,$120K +,36
46,High School,$80K - $120K,36
50,Graduate,$80K - $120K,36
43,Graduate,$60K - $80K,25
46,College,$80K - $120K,32
48,Graduate,$80K - $120K,38
49,High School,$80K - $120K,38
47,Uneducated,$40K - $60K,33
41,Post-Graduate,Less than $40K,33
44,High School,$80K - $120K,36
35,Uneducated,Less than $40K,36
32,High School,Less than $40K,13
38,College,$60K - $80K,34
39,High School,$120K +,22
48,Graduate,Less than $40K,31
49,Graduate,$60K - $80K,36
46,Graduate,Less than $40K,39
38,Doctorate,Less than $40K,26
48,High School,$80K - $120K,36
45,Graduate,Less than $40K,34
43,Doctorate,$40K - $60K,34
41,Graduate,$40K - $60K,36
50,Post-Graduate,$120K +,36
35,High School,Less than $40K,30
38,Graduate,$60K - $80K,25
40,Graduate,Unknown,23
48,Graduate,$80K - $120K,43
42,High School,Less than $40K,31
50,Graduate,$120K +,43
38,High School,$60K - $80K,33
46,High School,$60K - $80K,36
49,Doctorate,Unknown,36
50,Uneducated,$60K - $80K,39
40,Graduate,Less than $40K,27
32,High School,$60K - $80K,36
49,Graduate,$60K - $80K,32
43,Uneducated,$120K +,33
42,Doctorate,Less than $40K,36
48,Uneducated,$120K +,38
49,High School,$120K +,45
44,Graduate,$40K - $60K,36
43,Graduate,$60K - $80K,30
33,High School,$40K - $60K,25
50,Graduate,$80K - $120K,36
48,Post-Graduate,$120K +,35
47,High School,Less than $40K,40
35,Uneducated,Less than $40K,24
31,Graduate,Less than $40K,20
50,Uneducated,$80K - $120K,40
38,Graduate,$80K - $120K,31
39,Graduate,$60K - $80K,29
49,Graduate,$40K - $60K,41
49,Uneducated,$40K - $60K,33
44,High School,$60K - $80K,36
36,Graduate,$120K +,20
44,Graduate,$60K - $80K,39
35,Uneducated,$60K - $80K,28
45,Graduate,$80K - $120K,36
37,Graduate,Less than $40K,19
48,Uneducated,Less than $40K,38
43,Graduate,Unknown,33
46,Post-Graduate,$60K - $80K,41
44,Doctorate,Unknown,36
44,Graduate,$60K - $80K,31
38,Graduate,$60K - $80K,30
42,Graduate,Less than $40K,36
49,Uneducated,Less than $40K,36
31,Graduate,Less than $40K,22
47,High School,Less than $40K,31
30,Graduate,Less than $40K,19
45,High School,Less than $40K,33
28,Uneducated,Less than $40K,20
44,High School,Less than $40K,31
49,Graduate,$60K - $80K,36
34,High School,Less than $40K,24
42,Graduate,$80K - $120K,35
32,High School,$40K - $60K,26
35,Graduate,$60K - $80K,22
45,Graduate,$80K - $120K,36
45,College,$80K - $120K,35
43,Graduate,Less than $40K,30
38,Graduate,$60K - $80K,33
39,Uneducated,Less than $40K,36
44,High School,$80K - $120K,36
39,Graduate,$60K - $80K,34
36,High School,$120K +,24
42,College,Less than $40K,36
40,Graduate,Less than $40K,36
40,College,Less than $40K,33
44,High School,$60K - $80K,34
43,Graduate,$120K +,36
45,Graduate,$60K - $80K,33
34,Graduate,Unknown,29
38,College,$60K - $80K,18
36,Graduate,$80K - $120K,27
49,Uneducated,$40K - $60K,39
37,High School,$120K +,32
44,Graduate,$80K - $120K,36
49,High School,Unknown,35
37,High School,$60K - $80K,29
46,Uneducated,Unknown,28
39,Graduate,Less than $40K,36
36,High School,$80K - $120K,28
39,Graduate,$80K - $120K,21
50,High School,Less than $40K,42
38,Uneducated,Unknown,36
45,Uneducated,$60K - $80K,39
47,Graduate,$40K - $60K,34
